Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
1;20651;Annual Review of Immunology;journal;15453278,07320580;37.995;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
2;16801;Annual Review of Biochemistry;journal;15454509,00664150;35.186;Q1;316;Biochemistry (Q1)
3;18434;Cell;journal;928674,10974172;28.284;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
4;29719;Reviews of Modern Physics;journal;346861,15390756;26.670;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
5;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;24.175;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
6;14181;Annual Review of Neuroscience;journal;0147006X,15454126;23.781;Q1;256;Neuroscience (miscellaneous) (Q1)
7;24004;Physiological Reviews;journal;15221210,00319330;20.132;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
8;22126;Genes and Development;journal;15495477,08909370;18.492;Q1;467;Developmental Biology (Q1),Genetics (Q1)
9;19014;Nature Cell Biology;journal;14764679,14657390;16.387;Q1;396;Cell Biology (Q1)
10;29431;Quarterly Journal of Economics;journal;335533,15314650;16.387;Q1;292;Economics and Econometrics (Q1)
11;18606;Molecular Cell;journal;10974164,10972770;16.202;Q1;429;Cell Biology (Q1),Molecular Biology (Q1)
12;18503;Current Opinion in Cell Biology;journal;9550674,18790410;16.027;Q1;275;Cell Biology (Q1)
13;17500;Journal of Finance;journal;221082,15406261;15.465;Q1;336;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
14;21315;Nature Immunology;journal;15292908,15292920;15.020;Q1;424;Immunology (Q1)
15;24379;Journal of Financial Economics;journal;0304405X;14.602;Q1;289;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1),Strategy and Management (Q1)
16;20798;Immunity;journal;10974180,10747610;14.294;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
17;18990;Nature Genetics;journal;10614036,15461720;13.523;Q1;621;Genetics (Q1)
18;21191;Pharmacological Reviews;journal;15210081,00317000;13.345;Q1;247;Molecular Medicine (Q1),Pharmacology (Q1)
19;21706;Annual Review of Genetics;journal;15452948,00664200;13.288;Q1;195;Genetics (Q1)
20;17899;Progress in Materials Science;journal;18732208,00796430;12.886;Q1;210;Materials Science (miscellaneous) (Q1)
21;12000154482;Annual Review of Biophysics;journal;19361238,1936122X;12.713;Q1;169;Biochemistry (Q1),Bioengineering (Q1),Biophysics (Q1),Cell Biology (Q1),Structural Biology (Q1)
22;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;11.966;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
23;19479;Annual Review of Pharmacology and Toxicology;journal;15454304,03621640;11.847;Q1;218;Pharmacology (Q1),Toxicology (Q1)
24;19066;Trends in Cell Biology;journal;9628924,18793088;11.814;Q1;255;Cell Biology (Q1)
25;18525;Developmental Cell;journal;15345807,18781550;11.674;Q1;286;Developmental Biology (Q1)
26;23340;Chemical Reviews;journal;15206890,00092670;11.627;Q1;790;Chemistry (miscellaneous) (Q1)
