Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
60;26978;Advances in Physics;journal;14606976,00018730;11.279;Q1;121;Condensed Matter Physics (Q1)
61;146172;Cell Metabolism;journal;15504131;11.259;Q1;318;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1)
62;19900191906;Academy of Management Annals;journal;19416520,19416070;11.231;Q1;95;Business and International Management (Q1),Organizational Behavior and Human Resource Management (Q1)
63;22657;Accounts of Chemical Research;journal;14842,15204898;11.139;Q1;436;Chemistry (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
64;22401;Journal of the American College of Cardiology;journal;15583597,07351100;11.061;Q1;472;Cardiology and Cardiovascular Medicine (Q1)
65;24721;Annals of Mathematics;journal;0003486X;10.923;Q1;129;Statistics and Probability (Q1),Statistics,Probability and Uncertainty (Q1)
66;71056;MMWR Surveillance Summaries;journal;15458636,15460740;10.892;Q1;114;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1)
67;12394;Nature Structural and Molecular Biology;journal;15459993,15459990;10.873;Q1;292;Molecular Biology (Q1),Structural Biology (Q1)
68;29949;Journal of Clinical Oncology;journal;15277755,0732183X;10.683;Q1;600;Cancer Research (Q1),Medicine (miscellaneous) (Q1),Oncology (Q1)
69;17978;Neuron;journal;10974199,08966270;10.654;Q1;511;Neuroscience (miscellaneous) (Q1)
70;19881;Advanced Materials;journal;9359648,15214095;10.579;Q1;605;Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1),Nanoscience and Nanotechnology (Q1)
71;19900191885;American Economic Journal: Macroeconomics;journal;19457707,19457720;10.441;Q1;75;Economics,Econometrics and Finance (miscellaneous) (Q1)
72;22126;Genes and Development;journal;15495477,08909370;10.214;Q1;467;Developmental Biology (Q1),Genetics (Q1)
73;16036;Administrative Science Quarterly;journal;18392,19303815;10.187;Q1;201;Arts and Humanities (miscellaneous) (Q1),Public Administration (Q1),Sociology and Political Science (Q1)
74;20425;Nature Reviews Drug Discovery;journal;14741784,14741780;10.106;Q1;370;Drug Discovery (Q1),Medicine (miscellaneous) (Q1),Pharmacology (Q1)
75;22471;Lancet Infectious Diseases,The;journal;14744457,14733100;9.963;Q1;273;Infectious Diseases (Q1)
76;14816;Trends in Biochemical Sciences;journal;13624326,03765067,09680004;9.934;Q1;292;Biochemistry (Q1),Molecular Biology (Q1)
77;4000151822;Nature Physics;journal;17452473;9.791;Q1;315;Physics and Astronomy (miscellaneous) (Q1)
78;21100237403;Lancet Diabetes and Endocrinology.The;journal;22138595,22138590;9.705;Q1;151;Endocrinology (Q1),Endocrinology,Diabetes and Metabolism (Q1),Internal Medicine (Q1)
79;19700174677;Science Translational Medicine;journal;19466234,19466240;9.700;Q1;265;Medicine (miscellaneous) (Q1)
80;24202;Review of Economic Studies;journal;00346527,1467937X;9.589;Q1;158;Economics and Econometrics (Q1)
81;21191;Pharmacological Reviews;journal;15210081,00317000;9.472;Q1;247;Molecular Medicine (Q1),Pharmacology (Q1)
82;120008;Annual Review of Physiology;journal;664278,15451585;9.454;Q1;228;Physiology (Q1)
83;110092;Morbidity and Mortality Weekly Report;journal;01492195,1545861X;9.323;Q1;247;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
84;23183;European Heart Journal;journal;15229645,0195668X;9.315;Q1;329;Cardiology and Cardiovascular Medicine (Q1)
85;21100228100;Advances in Optics and Photonics;journal;19438206;9.187;Q1;82;Atomic and Molecular Physics,and Optics (Q1),Water Science and Technology (Q1)
86;19900191884;American Economic Journal: Economic Policy;journal;19457731,1945774X;9.149;Q1;80;Economics,Econometrics and Finance (miscellaneous) (Q1)
87;17899;Progress in Materials Science;journal;18732208,00796430;9.148;Q1;210;Materials Science (miscellaneous) (Q1)
88;5300152732;Cell Host and Microbe;journal;19313128;9.146;Q1;219;Cancer Research (Q1),Immunology and Microbiology (miscellaneous)  (Q1),Microbiology (Q1),Molecular Biology (Q1),Parasitology (Q1),Virology (Q1)
89;20246;Journal of Labor Economics;journal;0734306X,15375307;9.108;Q1;123;Economics and Econometrics (Q1),Industrial Relations (Q1)
90;19900191767;American Economic Journal: Applied Economics;journal;19457790,19457780;9.039;Q1;100;Economics,Econometrics and Finance (miscellaneous) (Q1)
91;14204;Nucleic Acids Research;journal;3051048,13624962;9.025;Q1;607;Genetics (Q1)
92;22581;Circulation;journal;97322,15244539;8.950;Q1;654;Cardiology and Cardiovascular Medicine (Q1),Physiology (medical) (Q1)
93;21706;Annual Review of Genetics;journal;15452948,00664200;8.895;Q1;195;Genetics (Q1)
94;85291;JAMA - Journal of the American Medical Association;journal;15383598,00987484,00029955;8.876;Q1;739;Medicine (miscellaneous) (Q1)
95;5800207366;Nature Protocols;journal;17542189;8.850;Q1;287;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
96;13443;Psychological Bulletin;journal;332909,19391455;8.793;Q1;345;History and Philosophy of Science (Q1),Psychology (miscellaneous) (Q1)
97;12000154482;Annual Review of Biophysics;journal;19361238,1936122X;8.790;Q1;169;Biochemistry (Q1),Bioengineering (Q1),Biophysics (Q1),Cell Biology (Q1),Structural Biology (Q1)
98;21100265444;Lancet Global Health.The;journal;2214109X;8.756;Q1;123;Medicine (miscellaneous) (Q1)
99;28599;Reviews of Geophysics;journal;87551209;8.744;Q1;180;Geophysics (Q1)
100;21708;Annual Review of Genomics and Human Genetics;journal;15278204,1545293X;8.702;Q1;126;Genetics (Q1),Genetics (clinical) (Q1),Molecular Biology (Q1)
101;14365;Trends in Ecology and Evolution;journal;1695347,18728383;8.634;Q1;370;Ecology,Evolution,Behavior and Systematics (Q1)
102;22951;Journal of Marketing;journal;15477185,00222430;8.616;Q1;268;Business and International Management (Q1),Economics and Econometrics (Q1),Marketing (Q1)
103;21272;Journal of Experimental Medicine;journal;221007,15409538;8.615;Q1;478;Immunology (Q1),Immunology and Allergy (Q1),Medicine (miscellaneous) (Q1)
104;4000148205;Nature Chemical Biology;journal;15524469,15524450;8.604;Q1;246;Cell Biology (Q1),Molecular Biology (Q1)
105;15555;American Journal of Political Science;journal;925853,15405907;8.595;Q1;193;Political Science and International Relations (Q1),Sociology and Political Science (Q1)
106;19897;European Urology;journal;03022838,1421993X;8.593;Q1;246;Urology (Q1)
107;20191;Academy of Management Journal;journal;14273;8.548;Q1;358;Business and International Management (Q1),Business,Management and Accounting (miscellaneous) (Q1),Management of Technology and Innovation (Q1),Strategy and Management (Q1)
108;39139;International Organization;journal;15315088,00208180;8.527;Q1;157;Law (Q1),Organizational Behavior and Human Resource Management (Q1),Political Science and International Relations (Q1),Sociology and Political Science (Q1)
109;4700152228;Molecular Systems Biology;journal;17444292;8.504;Q1;164;Agricultural and Biological Sciences (miscellaneous) (Q1),Applied Mathematics (Q1),Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Computational Theory and Mathematics (Q1),Immunology and Microbiology (miscellaneous)  (Q1),Information Systems (Q1),Medicine (miscellaneous) (Q1)
110;17814;Materials Science and Engineering: R: Reports;journal;0927796X;8.408;Q1;159;Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
111;19700200701;Annual Review of Economics;journal;19411383,19411390;8.370;Q1;67;Economics and Econometrics (Q1)
112;21100198409;Nature Climate Change;journal;17586798,1758678X;8.341;Q1;239;Environmental Science (miscellaneous) (Q1),Social Sciences (miscellaneous) (Q1)
113;28677;Living Reviews in Relativity;journal;14338351,23673610;8.322;Q1;92;Physics and Astronomy (miscellaneous) (Q1)
114;21100199127;Advanced Energy Materials;journal;16146832,16146840;8.230;Q1;290;Materials Science (miscellaneous) (Q1),Renewable Energy,Sustainability and the Environment (Q1)
115;22680;Journal of the American Chemical Society;journal;15205126,00027860;8.127;Q1;674;Biochemistry (Q1),Catalysis (Q1),Chemistry (miscellaneous) (Q1),Colloid and Surface Chemistry (Q1)
116;21100228547;JAMA Psychiatry;journal;21686238,2168622X;8.097;Q1;394;Medicine (miscellaneous) (Q1),Psychiatry and Mental Health (Q1)
117;21100228546;JAMA Internal Medicine;journal;21686114,21686110;8.032;Q1;375;Internal Medicine (Q1)
118;23157;Strategic Management Journal;journal;10970266,01432100;8.006;Q1;318;Business and International Management (Q1),Strategy and Management (Q1)
119;21100797856;Journal of Extracellular Vesicles;journal;20013078;7.973;Q1;98;Cell Biology (Q1),Histology (Q1)
120;28330;Gastroenterology;journal;15280012,00165090;7.958;Q1;442;Gastroenterology (Q1)
121;26555;Annual Review of Physical Chemistry;journal;0066426X,15451593;7.926;Q1;180;Physical and Theoretical Chemistry (Q1)
122;4600151524;Annual Review of Clinical Psychology;journal;15485951,15485940;7.903;Q1;134;Clinical Psychology (Q1),Medicine (miscellaneous) (Q1),Psychiatry and Mental Health (Q1)
123;20206;Academy of Management Review;journal;3637425;7.880;Q1;293;Business,Management and Accounting (miscellaneous) (Q1),Management of Technology and Innovation (Q1),Strategy and Management (Q1)
124;22961;Journal of Marketing Research;journal;222437,15477193;7.819;Q1;192;Business and International Management (Q1),Economics and Econometrics (Q1),Marketing (Q1)
125;110325;Annual Review of Ecology,Evolution,and Systematics;book series;1543592X;7.753;Q1;234;Ecology (Q1),Ecology,Evolution,Behavior and Systematics (Q1)
126;21100220495;Lancet Respiratory Medicine.The;journal;22132619,22132600;7.746;Q1;159;Pulmonary and Respiratory Medicine (Q1)
127;19136;Annals of the Rheumatic Diseases;journal;34967,14682060;7.699;Q1;272;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Immunology (Q1),Immunology and Allergy (Q1),Rheumatology (Q1)
128;15870;Journal of Clinical Investigation;journal;219738,15588238;7.616;Q1;527;Medicine (miscellaneous) (Q1)
129;17552;Acta Neuropathologica;journal;16322,14320533;7.589;Q1;200;Cellular and Molecular Neuroscience (Q1),Neurology (clinical) (Q1),Pathology and Forensic Medicine (Q1)
130;23714;Marketing Science;journal;07322399,1526548X;7.580;Q1;145;Business and International Management (Q1),Economics and Econometrics (Q1),Marketing (Q1)
131;20110;NBER Macroeconomics Annual;book series;15372642,08893370;7.571;Q1;68;Economics and Econometrics (Q1)
132;24870;Journal of Human Resources;journal;15488004,0022166X;7.563;Q1;118;Economics and Econometrics (Q1),Management of Technology and Innovation (Q1),Organizational Behavior and Human Resource Management (Q1),Strategy and Management (Q1)
133;21100201068;Cell Reports;journal;22111247;7.552;Q1;202;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
134;20278;Microbiology and Molecular Biology Reviews;journal;10985557,10922170;7.524;Q1;267;Immunology and Microbiology (miscellaneous)  (Q1),Molecular Biology (Q1)
135;19049;Trends in Genetics;journal;1689525,13624555;7.500;Q1;237;Genetics (Q1)
136;19700176402;Cold Spring Harbor perspectives in biology;journal;19430264;7.471;Q1;217;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
137;21100780831;Nature Reviews Disease Primers;journal;2056676X;7.467;Q1;155;Medicine (miscellaneous) (Q1)
138;26574;Annals of Internal Medicine;journal;15393704,00034820;7.466;Q1;419;Internal Medicine (Q1),Medicine (miscellaneous) (Q1)
139;21677;American Journal of Human Genetics;journal;15376605,00029300;7.450;Q1;321;Genetics (Q1),Genetics (clinical) (Q1)
140;17853;Nano Letters;journal;15306992,15306980;7.447;Q1;531;Bioengineering (Q1),Chemistry (miscellaneous) (Q1),Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Nanoscience and Nanotechnology (Q1)
141;28366;Gut;journal;14683288,00175750;7.440;Q1;328;Gastroenterology (Q1)
142;28980;Journal of Economic Perspectives;journal;8953309;7.374;Q1;213;Economics and Econometrics (Q1)
143;21365;Trends in Immunology;journal;14714906,14714980;7.364;Q1;245;Immunology (Q1),Immunology and Allergy (Q1)
144;19614;Annual Review of Microbiology;journal;664227,15453251;7.361;Q1;206;Microbiology (Q1)
145;27165;Journal of Economic Literature;journal;220515;7.339;Q1;173;Economics and Econometrics (Q1)
146;26465;Progress in Polymer Science;journal;796700;7.261;Q1;313;Ceramics and Composites (Q1),Materials Chemistry (Q1),Organic Chemistry (Q1),Polymers and Plastics (Q1),Surfaces and Interfaces (Q1)
147;17555;Journal of Monetary Economics;journal;3043932;7.204;Q1;142;Economics and Econometrics (Q1),Finance (Q1)
148;11500153511;ACS Nano;journal;1936086X,19360851;7.203;Q1;448;Engineering (miscellaneous) (Q1),Materials Science (miscellaneous) (Q1),Nanoscience and Nanotechnology (Q1),Physics and Astronomy (miscellaneous) (Q1)
149;18503;Current Opinion in Cell Biology;journal;9550674,18790410;7.202;Q1;275;Cell Biology (Q1)
150;4700152457;Nano Today;journal;17480132;7.191;Q1;167;Bioengineering (Q1),Biomedical Engineering (Q1),Biotechnology (Q1),Materials Science (miscellaneous) (Q1),Medicine (miscellaneous) (Q1),Nanoscience and Nanotechnology (Q1),Pharmaceutical Science (Q1)
151;21100773752;Nature Microbiology;journal;20585276;7.139;Q1;121;Applied Microbiology and Biotechnology (Q1),Cell Biology (Q1),Genetics (Q1),Immunology (Q1),Microbiology (Q1),Microbiology (medical) (Q1)
152;21100242814;eLife;journal;2050084X;7.121;Q1;184;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Immunology and Microbiology (miscellaneous)  (Q1),Medicine (miscellaneous) (Q1),Neuroscience (miscellaneous) (Q1)
153;24769;Materials Today;journal;13697021;7.111;Q1;210;Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
154;24204;Review of Economics and Statistics;journal;346535,15309142;7.088;Q1;189;Economics and Econometrics (Q1),Social Sciences (miscellaneous) (Q1)
155;24527;Acta Mathematica;journal;15962;7.066;Q1;73;Mathematics (miscellaneous) (Q1)
156;19708;FEMS Microbiology Reviews;journal;1686445,15746976;7.063;Q1;237;Infectious Diseases (Q1),Microbiology (Q1)
157;17435;EMBO Journal;journal;2614189,14602075;7.058;Q1;417;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Immunology and Microbiology (miscellaneous)  (Q1),Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Neuroscience (miscellaneous) (Q1)
158;15359;Trends in Cognitive Sciences;journal;1879307X,13646613;7.049;Q1;339;Cognitive Neuroscience (Q1),Experimental and Cognitive Psychology (Q1),Neuropsychology and Physiological Psychology (Q1)
159;6200180159;World Psychiatry;journal;17238617;7.027;Q1;125;Psychiatry and Mental Health (Q1)
160;13531;Journal of the Royal Statistical Society,Series B: Statistical Methodology;journal;14679868,13697410;7.005;Q1;140;Statistics and Probability (Q1),Statistics,Probability and Uncertainty (Q1)
161;21100212318;Cancer Discovery;journal;21598274,21598290;6.996;Q1;209;Oncology (Q1)
162;13969;Psychological Science in the Public Interest;journal;21600031,15291010;6.993;Q1;56;Psychology (miscellaneous) (Q1)
163;29857;Journal of Accounting Research;journal;1475679X,00218456;6.957;Q1;158;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
164;29838;Journal of Accounting and Economics;journal;1654101;6.875;Q1;174;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
165;28418;Brookings Papers on Economic Activity;journal;72303,15334465;6.851;Q1;93;Business,Management and Accounting (miscellaneous) (Q1),Economics and Econometrics (Q1)
166;13900;Cell Research;journal;17487838,10010600;6.839;Q1;200;Cell Biology (Q1),Molecular Biology (Q1)
167;14599;Ecology Letters;journal;1461023X,14610248;6.825;Q1;298;Ecology,Evolution,Behavior and Systematics (Q1)
168;23063;Circulation Research;journal;97330,15244571;6.813;Q1;369;Cardiology and Cardiovascular Medicine (Q1),Physiology (Q1)
169;27498;Annual Review of Medicine;journal;1545326X,00664219;6.790;Q1;174;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
170;17600155041;Nature Geoscience;journal;17520908,17520890;6.752;Q1;243;Earth and Planetary Sciences (miscellaneous) (Q1)
171;27538;Progress in Energy and Combustion Science;journal;3601285;6.751;Q1;212;Chemical Engineering (miscellaneous) (Q1),Energy Engineering and Power Technology (Q1),Fuel Technology (Q1)
172;19479;Annual Review of Pharmacology and Toxicology;journal;15454304,03621640;6.718;Q1;218;Pharmacology (Q1),Toxicology (Q1)
173;24535;Acta Numerica;journal;14740508,09624930;6.709;Q1;82;Mathematics (miscellaneous) (Q1),Numerical Analysis (Q1)
174;25491;Diabetes Care;journal;19355548,01495990;6.693;Q1;399;Advanced and Specialized Nursing (Q1),Endocrinology,Diabetes and Metabolism (Q1),Internal Medicine (Q1)
175;20497;Annual Review of Materials Research;book series;15317331,15454120;6.689;Q1;173;Materials Science (miscellaneous) (Q1)
176;23262;Inventiones Mathematicae;journal;209910,14321297;6.613;Q1;118;Mathematics (miscellaneous) (Q1)
177;19700182758;Nature Communications;journal;20411723;6.582;Q1;466;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Chemistry (miscellaneous) (Q1),Physics and Astronomy (miscellaneous) (Q1)
178;19939;Trends in Neurosciences;journal;03785912,01662236,1878108X;6.559;Q1;311;Neuroscience (miscellaneous) (Q1)
179;18525;Developmental Cell;journal;15345807,18781550;6.558;Q1;286;Developmental Biology (Q1)
180;25725;World Politics;journal;438871,10863338;6.544;Q1;122;Political Science and International Relations (Q1),Sociology and Political Science (Q1)
181;17700156734;Nature Reviews Clinical Oncology;journal;17594782,17594770;6.541;Q1;198;Oncology (Q1)
182;12812;Personality and Social Psychology Review;journal;10888683,15327960;6.495;Q1;177;Social Psychology (Q1)
183;21100241219;JACC: Heart Failure;journal;22131787,22131780;6.484;Q1;92;Cardiology and Cardiovascular Medicine (Q1)
184;18555;Journal of Cell Biology;journal;15408140,00219530;6.479;Q1;405;Cell Biology (Q1),Medicine (miscellaneous) (Q1)
185;20635;Journal of Management;journal;1492063,15571211;6.462;Q1;261;Finance (Q1),Strategy and Management (Q1)
186;11600153640;Quarterly Journal of Political Science;journal;15540634,15540630;6.453;Q1;41;Political Science and International Relations (Q1),Sociology and Political Science (Q1)
187;29229;Physics Reports;journal;3701573;6.452;Q1;306;Physics and Astronomy (miscellaneous) (Q1)
188;19700188395;Annual Review of Marine Science;journal;19410611,19411410;6.449;Q1;115;Oceanography (Q1)
189;25454;Blood;journal;15280020,00064970;6.434;Q1;506;Biochemistry (Q1),Cell Biology (Q1),Hematology (Q1),Immunology (Q1)
190;18567;Fungal Diversity;journal;15602745,18789130;6.432;Q1;113;Ecology (Q1),Ecology,Evolution,Behavior and Systematics (Q1),Plant Science (Q1)
191;12286;Surface Science Reports;journal;01675729,1879274X;6.425;Q1;126;Condensed Matter Physics (Q1),Electronic,Optical and Magnetic Materials (Q1),Materials Chemistry (Q1),Metals and Alloys (Q1),Surfaces and Interfaces (Q1),Surfaces,Coatings and Films (Q1)
192;19133;Annual Review of Entomology;journal;664170,15454487;6.403;Q1;217;Ecology,Evolution,Behavior and Systematics (Q1),Insect Science (Q1)
193;26038;Endocrine Reviews;journal;19457189,0163769X;6.402;Q1;293;Endocrinology (Q1),Endocrinology,Diabetes and Metabolism (Q1)
194;7500153126;Journal of the European Economic Association;journal;15424774,15424770;6.401;Q1;112;Economics,Econometrics and Finance (miscellaneous) (Q1)
