Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
1;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;61.786;Q1;198;Hematology (Q1),Oncology (Q1)
2;18991;Nature Reviews Genetics;journal;14710056,14710060;34.896;Q1;406;Genetics (Q1),Genetics (clinical) (Q1),Molecular Biology (Q1)
3;19434;MMWR Recommendations and Reports;journal;10575987,15458600;34.638;Q1;151;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
4;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;32.714;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
5;29431;Quarterly Journal of Economics;journal;335533,15314650;29.602;Q1;292;Economics and Econometrics (Q1)
6;21318;Nature Reviews Immunology;journal;14741741,14741730;28.786;Q1;444;Immunology (Q1),Medicine (miscellaneous) (Q1)
7;21100812243;Nature Reviews Materials;journal;20588437;28.630;Q1;156;Biomaterials (Q1),Electronic,Optical and Magnetic Materials (Q1),Energy (miscellaneous) (Q1),Materials Chemistry (Q1),Surfaces,Coatings and Films (Q1)
8;18434;Cell;journal;928674,10974172;25.137;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
9;12464;Nature Reviews Cancer;journal;1474175X,14741768;23.530;Q1;484;Cancer Research (Q1),Oncology (Q1)
10;23340;Chemical Reviews;journal;15206890,00092670;23.414;Q1;790;Chemistry (miscellaneous) (Q1)
11;18990;Nature Genetics;journal;10614036,15461720;22.243;Q1;621;Genetics (Q1)
12;20651;Annual Review of Immunology;journal;15453278,07320580;21.681;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
13;5200152704;Nature Nanotechnology;journal;17483387,17483400;20.612;Q1;395;Atomic and Molecular Physics,and Optics (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Condensed Matter Physics (Q1),Electrical and Electronic Engineering (Q1),Materials Science (miscellaneous) (Q1),Nanoscience and Nanotechnology (Q1)
14;21100778827;Nature Methods;journal;15487091,15487110;19.939;Q1;363;Biochemistry (Q1),Biotechnology (Q1),Cell Biology (Q1),Molecular Biology (Q1)
15;19482;Econometrica;journal;129682,14680262;19.932;Q1;213;Economics and Econometrics (Q1)
16;15847;New England Journal of Medicine;journal;284793,15334406;19.476;Q1;1130;Medicine (miscellaneous) (Q1)
17;16801;Annual Review of Biochemistry;journal;15454509,00664150;18.513;Q1;316;Biochemistry (Q1)
18;17500;Journal of Finance;journal;221082,15406261;18.318;Q1;336;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
19;17854;Nature Materials;journal;14764660,14761120;18.263;Q1;533;Chemistry (miscellaneous) (Q1),Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
20;16115;Nature Biotechnology;journal;15461696,10870160;18.252;Q1;491;Applied Microbiology and Biotechnology (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Biotechnology (Q1),Molecular Medicine (Q1)
21;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;18.046;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
22;21206;Nature;journal;14764687,00280840;17.875;Q1;1331;Multidisciplinary (Q1)
23;21100812579;Nature Energy;journal;20587546;17.765;Q1;196;Electronic,Optical and Magnetic Materials (Q1),Energy Engineering and Power Technology (Q1),Fuel Technology (Q1),Renewable Energy,Sustainability and the Environment (Q1)
24;20313;Nature Reviews Microbiology;journal;17401534,17401530;17.634;Q1;349;Immunology and Microbiology (miscellaneous)  (Q1)
25;23350;Chemical Society Reviews;journal;3060012,14604744;17.633;Q1;595;Chemistry (miscellaneous) (Q1)
26;29719;Reviews of Modern Physics;journal;346861,15390756;17.567;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
27;17437;Nature Reviews Neuroscience;journal;14710048,1471003X;17.110;Q1;455;Neuroscience (miscellaneous) (Q1)
28;15819;Nature Medicine;journal;1546170X,10788956;17.067;Q1;605;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
29;5700165152;Nature Photonics;journal;17494885;16.462;Q1;362;Atomic and Molecular Physics,and Optics (Q1),Electronic,Optical and Magnetic Materials (Q1)
30;24404;Journal of Political Economy;journal;00223808,1537534X;16.309;Q1;207;Economics and Econometrics (Q1)
31;24004;Physiological Reviews;journal;15221210,00319330;16.184;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
32;12354;Lancet Oncology,The;journal;14702045,14745490;16.085;Q1;382;Oncology (Q1)
33;17436;Nature Neuroscience;journal;10976256,15461730;15.207;Q1;460;Neuroscience (miscellaneous) (Q1)
34;16590;Lancet,The;journal;01406736,1474547X;14.934;Q1;855;Medicine (miscellaneous) (Q1)
35;17500155114;Energy and Environmental Science;journal;17545692,17545710;14.590;Q1;408;Environmental Chemistry (Q1),Nuclear Energy and Engineering (Q1),Pollution (Q1),Renewable Energy,Sustainability and the Environment (Q1)
36;16161;Review of Financial Studies;journal;14657368,08939450;14.237;Q1;218;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
37;23571;Science;journal;10959203,00368080;14.142;Q1;1283;History and Philosophy of Science (Q1),Multidisciplinary (Q1)
38;19014;Nature Cell Biology;journal;14764679,14657390;14.070;Q1;396;Cell Biology (Q1)
39;21315;Nature Immunology;journal;15292908,15292920;14.007;Q1;424;Immunology (Q1)
40;18606;Molecular Cell;journal;10974164,10972770;13.841;Q1;429;Cell Biology (Q1),Molecular Biology (Q1)
41;12137;Journal of Statistical Software;journal;15487660;13.802;Q1;169;Software (Q1),Statistics and Probability (Q1),Statistics,Probability and Uncertainty (Q1)
42;6100153018;Cell Stem Cell;journal;19345909;13.569;Q1;287;Cell Biology (Q1),Genetics (Q1),Molecular Medicine (Q1)
43;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;13.473;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
44;20798;Immunity;journal;10974180,10747610;13.393;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
45;18100156701;Nature Chemistry;journal;17554330,17554350;13.235;Q1;271;Chemical Engineering (miscellaneous) (Q1),Chemistry (miscellaneous) (Q1)
46;40944;Genome Biology;journal;14747596;12.740;Q1;284;Cell Biology (Q1),Ecology,Evolution,Behavior and Systematics (Q1),Genetics (Q1)
47;29093;Cancer Cell;journal;15356108,18783690;12.700;Q1;378;Cancer Research (Q1),Cell Biology (Q1),Oncology (Q1)
48;16721;Annual Review of Plant Biology;journal;15452123,15435010;12.605;Q1;286;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1),Plant Science (Q1)
49;19066;Trends in Cell Biology;journal;9628924,18793088;12.596;Q1;255;Cell Biology (Q1)
50;24379;Journal of Financial Economics;journal;0304405X;12.489;Q1;289;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1),Strategy and Management (Q1)
51;14181;Annual Review of Neuroscience;journal;0147006X,15454126;12.417;Q1;256;Neuroscience (miscellaneous) (Q1)
52;22214;Genome Research;journal;15495469,10889050;12.367;Q1;319;Genetics (Q1),Genetics (clinical) (Q1)
53;11300153736;Annual Review of Pathology: Mechanisms of Disease;journal;15534006,15534010;12.280;Q1;143;Medicine (miscellaneous) (Q1),Pathology and Forensic Medicine (Q1),Plant Science (Q1)
54;22697;American Economic Review;journal;28282;12.047;Q1;337;Economics and Econometrics (Q1)
55;12010;Annual Review of Psychology;journal;664308,15452085;12.027;Q1;266;Psychology (miscellaneous) (Q1)
56;16860;Lancet Neurology,The;journal;14744465,14744420;11.964;Q1;336;Neurology (clinical) (Q1)
57;24668;Journal of the American Mathematical Society;journal;10886834,08940350;11.419;Q1;104;Applied Mathematics (Q1),Mathematics (miscellaneous) (Q1)
58;19700188417;Annual Review of Condensed Matter Physics;journal;19475454,19475460;11.377;Q1;81;Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1)
59;19651;Clinical Microbiology Reviews;journal;8938512,10986618;11.301;Q1;314;Epidemiology (Q1),Immunology and Microbiology (miscellaneous)  (Q1),Infectious Diseases (Q1),Microbiology (medical) (Q1),Public Health,Environmental and Occupational Health (Q1)
