Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
1;16801;Annual Review of Biochemistry;journal;15454509,00664150;39.946;Q1;316;Biochemistry (Q1)
2;20651;Annual Review of Immunology;journal;15453278,07320580;36.369;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
3;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;31.364;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
4;18434;Cell;journal;928674,10974172;29.247;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
5;14181;Annual Review of Neuroscience;journal;0147006X,15454126;20.785;Q1;256;Neuroscience (miscellaneous) (Q1)
6;22126;Genes and Development;journal;15495477,08909370;20.005;Q1;467;Developmental Biology (Q1),Genetics (Q1)
7;26978;Advances in Physics;journal;14606976,00018730;17.353;Q1;121;Condensed Matter Physics (Q1)
8;20798;Immunity;journal;10974180,10747610;17.135;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
9;18606;Molecular Cell;journal;10974164,10972770;16.477;Q1;429;Cell Biology (Q1),Molecular Biology (Q1)
10;20278;Microbiology and Molecular Biology Reviews;journal;10985557,10922170;15.832;Q1;267;Immunology and Microbiology (miscellaneous)  (Q1),Molecular Biology (Q1)
11;18503;Current Opinion in Cell Biology;journal;9550674,18790410;15.204;Q1;275;Cell Biology (Q1)
12;18990;Nature Genetics;journal;10614036,15461720;15.204;Q1;621;Genetics (Q1)
13;21706;Annual Review of Genetics;journal;15452948,00664200;14.623;Q1;195;Genetics (Q1)
14;19014;Nature Cell Biology;journal;14764679,14657390;13.841;Q1;396;Cell Biology (Q1)
15;29719;Reviews of Modern Physics;journal;346861,15390756;13.753;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
16;24004;Physiological Reviews;journal;15221210,00319330;13.590;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
17;29431;Quarterly Journal of Economics;journal;335533,15314650;13.119;Q1;292;Economics and Econometrics (Q1)
18;21191;Pharmacological Reviews;journal;15210081,00317000;12.716;Q1;247;Molecular Medicine (Q1),Pharmacology (Q1)
19;27165;Journal of Economic Literature;journal;220515;12.131;Q1;173;Economics and Econometrics (Q1)
20;22080;Current Opinion in Genetics and Development;journal;0959437X,18790380;11.803;Q1;197;Developmental Biology (Q1),Genetics (Q1)
21;17435;EMBO Journal;journal;2614189,14602075;11.787;Q1;417;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Immunology and Microbiology (miscellaneous)  (Q1),Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Neuroscience (miscellaneous) (Q1)
22;17500;Journal of Finance;journal;221082,15406261;11.722;Q1;336;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
23;12000154482;Annual Review of Biophysics;journal;19361238,1936122X;11.611;Q1;169;Biochemistry (Q1),Bioengineering (Q1),Biophysics (Q1),Cell Biology (Q1),Structural Biology (Q1)
24;12286;Surface Science Reports;journal;01675729,1879274X;11.559;Q1;126;Condensed Matter Physics (Q1),Electronic,Optical and Magnetic Materials (Q1),Materials Chemistry (Q1),Metals and Alloys (Q1),Surfaces and Interfaces (Q1),Surfaces,Coatings and Films (Q1)
25;18555;Journal of Cell Biology;journal;15408140,00219530;11.388;Q1;405;Cell Biology (Q1),Medicine (miscellaneous) (Q1)
26;17978;Neuron;journal;10974199,08966270;11.383;Q1;511;Neuroscience (miscellaneous) (Q1)
27;14816;Trends in Biochemical Sciences;journal;13624326,03765067,09680004;11.336;Q1;292;Biochemistry (Q1),Molecular Biology (Q1)
28;23340;Chemical Reviews;journal;15206890,00092670;11.211;Q1;790;Chemistry (miscellaneous) (Q1)
29;23571;Science;journal;10959203,00368080;10.987;Q1;1283;History and Philosophy of Science (Q1),Multidisciplinary (Q1)
30;19066;Trends in Cell Biology;journal;9628924,18793088;10.801;Q1;255;Cell Biology (Q1)
31;19479;Annual Review of Pharmacology and Toxicology;journal;15454304,03621640;10.621;Q1;218;Pharmacology (Q1),Toxicology (Q1)
32;21272;Journal of Experimental Medicine;journal;221007,15409538;10.608;Q1;478;Immunology (Q1),Immunology and Allergy (Q1),Medicine (miscellaneous) (Q1)
33;17899;Progress in Materials Science;journal;18732208,00796430;10.409;Q1;210;Materials Science (miscellaneous) (Q1)
34;19434;MMWR Recommendations and Reports;journal;10575987,15458600;10.335;Q1;151;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
35;16721;Annual Review of Plant Biology;journal;15452123,15435010;10.315;Q1;286;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1),Plant Science (Q1)
36;21206;Nature;journal;14764687,00280840;9.874;Q1;1331;Multidisciplinary (Q1)
37;16036;Administrative Science Quarterly;journal;18392,19303815;9.762;Q1;201;Arts and Humanities (miscellaneous) (Q1),Public Administration (Q1),Sociology and Political Science (Q1)
38;29709;Reports on Progress in Physics;journal;13616633,00344890;9.267;Q1;237;Medicine (miscellaneous) (Q1),Physics and Astronomy (miscellaneous) (Q1)
39;24379;Journal of Financial Economics;journal;0304405X;9.216;Q1;289;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1),Strategy and Management (Q1)
40;28418;Brookings Papers on Economic Activity;journal;72303,15334465;9.127;Q1;93;Business,Management and Accounting (miscellaneous) (Q1),Economics and Econometrics (Q1)
41;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;9.125;Q1;198;Hematology (Q1),Oncology (Q1)
42;21315;Nature Immunology;journal;15292908,15292920;8.961;Q1;424;Immunology (Q1)
43;14150;Molecular and Cellular Biology;journal;2707306,10985549;8.631;Q1;347;Cell Biology (Q1),Molecular Biology (Q1)
44;15847;New England Journal of Medicine;journal;284793,15334406;8.571;Q1;1130;Medicine (miscellaneous) (Q1)
45;20151;Advances in Immunology;journal;652776,15578445;8.552;Q1;112;Immunology (Q1),Immunology and Allergy (Q1)
46;9500154114;Advances in Theoretical and Mathematical Physics;journal;10950761;8.341;Q1;78;Mathematics (miscellaneous) (Q1),Physics and Astronomy (miscellaneous) (Q1)
47;120008;Annual Review of Physiology;journal;664278,15451585;8.168;Q1;228;Physiology (Q1)
48;16594;Plant Cell;journal;1532298X,10404651;8.011;Q1;380;Cell Biology (Q1),Plant Science (Q1)
49;14531;Development (Cambridge);journal;14779129,09501990;7.964;Q1;349;Developmental Biology (Q1),Molecular Biology (Q1)
50;15819;Nature Medicine;journal;1546170X,10788956;7.861;Q1;605;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
51;19939;Trends in Neurosciences;journal;03785912,01662236,1878108X;7.820;Q1;311;Neuroscience (miscellaneous) (Q1)
52;17436;Nature Neuroscience;journal;10976256,15461730;7.803;Q1;460;Neuroscience (miscellaneous) (Q1)
53;26038;Endocrine Reviews;journal;19457189,0163769X;7.725;Q1;293;Endocrinology (Q1),Endocrinology,Diabetes and Metabolism (Q1)
54;18797;Current Opinion in Immunology;journal;9527915;7.642;Q1;204;Immunology (Q1),Immunology and Allergy (Q1)
55;19614;Annual Review of Microbiology;journal;664227,15453251;7.595;Q1;206;Microbiology (Q1)
56;24404;Journal of Political Economy;journal;00223808,1537534X;7.588;Q1;207;Economics and Econometrics (Q1)
57;28599;Reviews of Geophysics;journal;87551209;7.382;Q1;180;Geophysics (Q1)
58;21100228547;JAMA Psychiatry;journal;21686238,2168622X;7.293;Q1;394;Medicine (miscellaneous) (Q1),Psychiatry and Mental Health (Q1)
59;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490,00278420;7.189;Q1;838;Multidisciplinary (Q1)
60;22657;Accounts of Chemical Research;journal;14842,15204898;7.165;Q1;436;Chemistry (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
61;20206;Academy of Management Review;journal;3637425;7.139;Q1;293;Business,Management and Accounting (miscellaneous) (Q1),Management of Technology and Innovation (Q1),Strategy and Management (Q1)
62;15870;Journal of Clinical Investigation;journal;219738,15588238;7.095;Q1;527;Medicine (miscellaneous) (Q1)
63;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;7.025;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
64;19049;Trends in Genetics;journal;1689525,13624555;6.925;Q1;237;Genetics (Q1)
65;14992;Current Opinion in Neurobiology;journal;9594388,18736882;6.810;Q1;242;Neuroscience (miscellaneous) (Q1)
66;71056;MMWR Surveillance Summaries;journal;15458636,15460740;6.750;Q1;114;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1)
67;16161;Review of Financial Studies;journal;14657368,08939450;6.750;Q1;218;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
68;17400;Current Opinion in Structural Biology;journal;1879033X,0959440X;6.715;Q1;213;Molecular Biology (Q1),Structural Biology (Q1)
69;64345;Ecological Monographs;journal;129615;6.709;Q1;168;Ecology,Evolution,Behavior and Systematics (Q1)
70;26555;Annual Review of Physical Chemistry;journal;0066426X,15451593;6.665;Q1;180;Physical and Theoretical Chemistry (Q1)
71;17437;Nature Reviews Neuroscience;journal;14710048,1471003X;6.570;Q1;455;Neuroscience (miscellaneous) (Q1)
72;12394;Nature Structural and Molecular Biology;journal;15459993,15459990;6.543;Q1;292;Molecular Biology (Q1),Structural Biology (Q1)
73;15537;Current Biology;journal;18790445,09609820;6.524;Q1;347;Agricultural and Biological Sciences (miscellaneous) (Q1),Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
74;28690;Advances in Cancer Research;journal;0065230X;6.501;Q1;103;Cancer Research (Q1),Oncology (Q1)
75;13174;BioEssays;journal;2659247,15211878;6.374;Q1;196;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
76;18605;Molecular Biology of the Cell;journal;10591524,19394590;6.284;Q1;240;Cell Biology (Q1),Molecular Biology (Q1)
77;22214;Genome Research;journal;15495469,10889050;6.272;Q1;319;Genetics (Q1),Genetics (clinical) (Q1)
78;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;6.123;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
79;24202;Review of Economic Studies;journal;00346527,1467937X;6.080;Q1;158;Economics and Econometrics (Q1)
80;110325;Annual Review of Ecology,Evolution,and Systematics;book series;1543592X;6.014;Q1;234;Ecology (Q1),Ecology,Evolution,Behavior and Systematics (Q1)
81;22266;Human Molecular Genetics;journal;14602083,09646910;5.975;Q1;294;Genetics (Q1),Genetics (clinical) (Q1),Medicine (miscellaneous) (Q1),Molecular Biology (Q1)
82;23157;Strategic Management Journal;journal;10970266,01432100;5.950;Q1;318;Business and International Management (Q1),Strategy and Management (Q1)
83;20191;Academy of Management Journal;journal;14273;5.927;Q1;358;Business and International Management (Q1),Business,Management and Accounting (miscellaneous) (Q1),Management of Technology and Innovation (Q1),Strategy and Management (Q1)
84;17500154901;Progress in Molecular Biology and Translational Science;journal;18771173,18780810;5.889;Q1;110;Molecular Biology (Q1),Molecular Medicine (Q1)
85;29150;Physical Review Letters;journal;10797114,00319010;5.884;Q1;674;Physics and Astronomy (miscellaneous) (Q1)
86;16764;Journal of Neuroscience;journal;2706474,15292401;5.802;Q1;488;Neuroscience (miscellaneous) (Q1)
87;14913;Quarterly Reviews of Biophysics;journal;335835,14698994;5.772;Q1;105;Biophysics (Q1)
88;24668;Journal of the American Mathematical Society;journal;10886834,08940350;5.749;Q1;104;Applied Mathematics (Q1),Mathematics (miscellaneous) (Q1)
89;21677;American Journal of Human Genetics;journal;15376605,00029300;5.700;Q1;321;Genetics (Q1),Genetics (clinical) (Q1)
90;27237;IEEE/ACM Transactions on Networking;journal;10636692;5.655;Q1;179;Computer Networks and Communications (Q1),Computer Science Applications (Q1),Electrical and Electronic Engineering (Q1),Software (Q1)
91;20110;NBER Macroeconomics Annual;book series;15372642,08893370;5.622;Q1;68;Economics and Econometrics (Q1)
92;14365;Trends in Ecology and Evolution;journal;1695347,18728383;5.596;Q1;370;Ecology,Evolution,Behavior and Systematics (Q1)
93;17528;Journal of Financial Markets;journal;13864181;5.565;Q1;67;Economics and Econometrics (Q1),Finance (Q1)
94;19482;Econometrica;journal;129682,14680262;5.562;Q1;213;Economics and Econometrics (Q1)
95;19900192103;Astrophysical Journal Letters;journal;20418213,20418210;5.560;Q1;184;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
96;22581;Circulation;journal;97322,15244539;5.548;Q1;654;Cardiology and Cardiovascular Medicine (Q1),Physiology (medical) (Q1)
97;24393;Journal of International Economics;journal;221996;5.542;Q1;151;Economics and Econometrics (Q1),Finance (Q1)
98;23350;Chemical Society Reviews;journal;3060012,14604744;5.508;Q1;595;Chemistry (miscellaneous) (Q1)
99;17814;Materials Science and Engineering: R: Reports;journal;0927796X;5.502;Q1;159;Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
100;29229;Physics Reports;journal;3701573;5.419;Q1;306;Physics and Astronomy (miscellaneous) (Q1)
101;21365;Trends in Immunology;journal;14714906,14714980;5.365;Q1;245;Immunology (Q1),Immunology and Allergy (Q1)
102;26554;Advances in Physical Organic Chemistry;book series;653160;5.312;Q1;30;Organic Chemistry (Q1),Physical and Theoretical Chemistry (Q1)
103;15557;American Political Science Review;journal;15375943,00030550;5.253;Q1;191;Political Science and International Relations (Q1),Sociology and Political Science (Q1)
104;18935;IEEE Wireless Communications;journal;15361284;5.216;Q1;177;Computer Science Applications (Q1),Electrical and Electronic Engineering (Q1)
105;14305;Systematic Biology;journal;1076836X,10635157;5.202;Q1;196;Ecology,Evolution,Behavior and Systematics (Q1),Genetics (Q1)
106;4100151532;Advances in Experimental Social Psychology;book series;652601;5.189;Q1;96;Social Psychology (Q1)
107;23063;Circulation Research;journal;97330,15244571;5.167;Q1;369;Cardiology and Cardiovascular Medicine (Q1),Physiology (Q1)
108;19651;Clinical Microbiology Reviews;journal;8938512,10986618;5.110;Q1;314;Epidemiology (Q1),Immunology and Microbiology (miscellaneous)  (Q1),Infectious Diseases (Q1),Microbiology (medical) (Q1),Public Health,Environmental and Occupational Health (Q1)
109;39139;International Organization;journal;15315088,00208180;5.048;Q1;157;Law (Q1),Organizational Behavior and Human Resource Management (Q1),Political Science and International Relations (Q1),Sociology and Political Science (Q1)
110;25760;Advances in Organometallic Chemistry;book series;653055;5.036;Q1;55;Organic Chemistry (Q1)
111;17924;Current Opinion in Plant Biology;journal;18790356,13695270;4.991;Q1;223;Plant Science (Q1)
112;13839;Annual Review of Fluid Mechanics;book series;15454479,00664190;4.973;Q1;207;Condensed Matter Physics (Q1)
113;13443;Psychological Bulletin;journal;332909,19391455;4.969;Q1;345;History and Philosophy of Science (Q1),Psychology (miscellaneous) (Q1)
114;24025;Progress in Neurobiology;journal;18735118,03010080;4.966;Q1;249;Neuroscience (miscellaneous) (Q1)
115;14621;Annual Review of Nuclear and Particle Science;book series;1638998;4.937;Q1;109;Nuclear and High Energy Physics (Q1)
116;13550;Journal of Climate;journal;15200442,08948760;4.922;Q1;319;Atmospheric Science (Q1)
117;17592;Journal of Biological Chemistry;journal;00219258,1083351X;4.869;Q1;544;Biochemistry (Q1),Cell Biology (Q1),Molecular Biology (Q1)
118;30039;Journal of Personality and Social Psychology;journal;223514;4.867;Q1;416;Social Psychology (Q1),Sociology and Political Science (Q1)
119;13531;Journal of the Royal Statistical Society,Series B: Statistical Methodology;journal;14679868,13697410;4.856;Q1;140;Statistics and Probability (Q1),Statistics,Probability and Uncertainty (Q1)
120;27423;Advances in Geophysics;book series;652687;4.837;Q1;36;Geophysics (Q1)
121;15555;American Journal of Political Science;journal;925853,15405907;4.819;Q1;193;Political Science and International Relations (Q1),Sociology and Political Science (Q1)
122;26111;Frontiers in Neuroendocrinology;journal;913022,10956808;4.764;Q1;144;Endocrine and Autonomic Systems (Q1)
123;21656;Advances in Genetics;book series;652660;4.757;Q1;77;Genetics (Q1),Medicine (miscellaneous) (Q1)
124;25835;International Security;journal;15314804,01622890;4.731;Q1;120;Law (Q1),Political Science and International Relations (Q1),Sociology and Political Science (Q1)
125;12481;Journal of Engineering Education;journal;10694730,21689830;4.663;Q1;119;Education (Q1),Engineering (miscellaneous) (Q1)
126;22697;American Economic Review;journal;28282;4.600;Q1;337;Economics and Econometrics (Q1)
127;13467;Psychological Review;journal;19391471,0033295X;4.572;Q1;230;History and Philosophy of Science (Q1),Psychology (miscellaneous) (Q1)
128;24527;Acta Mathematica;journal;15962;4.554;Q1;73;Mathematics (miscellaneous) (Q1)
129;22951;Journal of Marketing;journal;15477185,00222430;4.528;Q1;268;Business and International Management (Q1),Economics and Econometrics (Q1),Marketing (Q1)
130;23262;Inventiones Mathematicae;journal;209910,14321297;4.485;Q1;118;Mathematics (miscellaneous) (Q1)
131;28980;Journal of Economic Perspectives;journal;8953309;4.481;Q1;213;Economics and Econometrics (Q1)
132;29086;Nuclear Physics B;journal;5503213;4.444;Q1;262;Nuclear and High Energy Physics (Q1)
133;29183;Cancer Research;journal;85472,15387445;4.432;Q1;483;Cancer Research (Q1),Oncology (Q1)
134;12229;Mass Spectrometry Reviews;journal;10982787,02777040;4.429;Q1;135;Analytical Chemistry (Q1),Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Condensed Matter Physics (Q1),Spectroscopy (Q1)
135;20810;Immunological Reviews;journal;01052896,1600065X;4.392;Q1;243;Immunology (Q1),Immunology and Allergy (Q1)
136;17618;Journal of Molecular Biology;journal;222836,10898638;4.370;Q1;285;Molecular Biology (Q1),Structural Biology (Q1)
137;21359;Seminars in Immunology;journal;10445323,10963620;4.360;Q1;141;Immunology (Q1),Immunology and Allergy (Q1)
138;12523;Oncogene;journal;14765594,09509230;4.359;Q1;360;Cancer Research (Q1),Genetics (Q1),Molecular Biology (Q1)
139;12172;Climate Dynamics;journal;14320894,09307580;4.327;Q1;181;Atmospheric Science (Q1)
140;19708;FEMS Microbiology Reviews;journal;1686445,15746976;4.315;Q1;237;Infectious Diseases (Q1),Microbiology (Q1)
141;24721;Annals of Mathematics;journal;0003486X;4.302;Q1;129;Statistics and Probability (Q1),Statistics,Probability and Uncertainty (Q1)
142;21275;Journal of Immunology;journal;15506606,00221770;4.302;Q1;401;Immunology (Q1)
143;27030;Applied Physics Letters;journal;10773118,00036950;4.281;Q1;466;Physics and Astronomy (miscellaneous) (Q1)
144;28520;Journal of High Energy Physics;journal;10298479;4.275;Q1;247;Nuclear and High Energy Physics (Q1)
145;18991;Nature Reviews Genetics;journal;14710056,14710060;4.264;Q1;406;Genetics (Q1),Genetics (clinical) (Q1),Molecular Biology (Q1)
146;20497;Annual Review of Materials Research;book series;15317331,15454120;4.262;Q1;173;Materials Science (miscellaneous) (Q1)
147;12074;Bulletin of the American Meteorological Society;journal;15200477,00030010;4.254;Q1;218;Atmospheric Science (Q1)
148;22321;Trends in Pharmacological Sciences;journal;18733735,01656150;4.240;Q1;234;Pharmacology (Q1),Toxicology (Q1)
149;16612;Plant Journal;journal;1365313X,09607412;4.209;Q1;300;Cell Biology (Q1),Genetics (Q1),Plant Science (Q1)
150;19602;Advances in Microbial Physiology;journal;652911;4.163;Q1;70;Microbiology (Q1),Physiology (Q1)
151;80280;Biochimica et Biophysica Acta - Reviews on Cancer;journal;0304419X;4.128;Q1;151;Cancer Research (Q1),Genetics (Q1),Oncology (Q1)
152;29949;Journal of Clinical Oncology;journal;15277755,0732183X;4.111;Q1;600;Cancer Research (Q1),Medicine (miscellaneous) (Q1),Oncology (Q1)
153;26574;Annals of Internal Medicine;journal;15393704,00034820;4.110;Q1;419;Internal Medicine (Q1),Medicine (miscellaneous) (Q1)
154;22173;Genetics;journal;19432631,00166730;4.100;Q1;265;Genetics (Q1)
