Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
1;20651;Annual Review of Immunology;journal;15453278,07320580;39.356;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
2;29719;Reviews of Modern Physics;journal;346861,15390756;35.841;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
3;16801;Annual Review of Biochemistry;journal;15454509,00664150;35.294;Q1;316;Biochemistry (Q1)
4;14181;Annual Review of Neuroscience;journal;0147006X,15454126;28.501;Q1;256;Neuroscience (miscellaneous) (Q1)
5;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;26.736;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
6;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;25.358;Q1;198;Hematology (Q1),Oncology (Q1)
7;18434;Cell;journal;928674,10974172;25.274;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
8;24004;Physiological Reviews;journal;15221210,00319330;22.465;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
9;18990;Nature Genetics;journal;10614036,15461720;20.870;Q1;621;Genetics (Q1)
10;21315;Nature Immunology;journal;15292908,15292920;19.372;Q1;424;Immunology (Q1)
11;29431;Quarterly Journal of Economics;journal;335533,15314650;18.257;Q1;292;Economics and Econometrics (Q1)
12;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;18.163;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
13;21706;Annual Review of Genetics;journal;15452948,00664200;17.592;Q1;195;Genetics (Q1)
14;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;17.186;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
15;23340;Chemical Reviews;journal;15206890,00092670;16.304;Q1;790;Chemistry (miscellaneous) (Q1)
16;26978;Advances in Physics;journal;14606976,00018730;15.916;Q1;121;Condensed Matter Physics (Q1)
17;17899;Progress in Materials Science;journal;18732208,00796430;15.858;Q1;210;Materials Science (miscellaneous) (Q1)
18;29093;Cancer Cell;journal;15356108,18783690;15.652;Q1;378;Cancer Research (Q1),Cell Biology (Q1),Oncology (Q1)
19;22126;Genes and Development;journal;15495477,08909370;15.640;Q1;467;Developmental Biology (Q1),Genetics (Q1)
20;19014;Nature Cell Biology;journal;14764679,14657390;15.449;Q1;396;Cell Biology (Q1)
