Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
1;20651;Annual Review of Immunology;journal;15453278,07320580;37.964;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
2;16801;Annual Review of Biochemistry;journal;15454509,00664150;32.241;Q1;316;Biochemistry (Q1)
3;29719;Reviews of Modern Physics;journal;346861,15390756;27.144;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
4;18434;Cell;journal;928674,10974172;25.262;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
5;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;23.920;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
6;14181;Annual Review of Neuroscience;journal;0147006X,15454126;22.864;Q1;256;Neuroscience (miscellaneous) (Q1)
7;29431;Quarterly Journal of Economics;journal;335533,15314650;20.701;Q1;292;Economics and Econometrics (Q1)
8;24004;Physiological Reviews;journal;15221210,00319330;20.031;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
9;21315;Nature Immunology;journal;15292908,15292920;17.930;Q1;424;Immunology (Q1)
10;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;16.155;Q1;198;Hematology (Q1),Oncology (Q1)
11;22126;Genes and Development;journal;15495477,08909370;15.979;Q1;467;Developmental Biology (Q1),Genetics (Q1)
12;18606;Molecular Cell;journal;10974164,10972770;15.371;Q1;429;Cell Biology (Q1),Molecular Biology (Q1)
13;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;15.199;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
14;19014;Nature Cell Biology;journal;14764679,14657390;15.036;Q1;396;Cell Biology (Q1)
15;18990;Nature Genetics;journal;10614036,15461720;14.345;Q1;621;Genetics (Q1)
16;18503;Current Opinion in Cell Biology;journal;9550674,18790410;14.122;Q1;275;Cell Biology (Q1)
17;12464;Nature Reviews Cancer;journal;1474175X,14741768;13.840;Q1;484;Cancer Research (Q1),Oncology (Q1)
18;21706;Annual Review of Genetics;journal;15452948,00664200;13.669;Q1;195;Genetics (Q1)
19;20798;Immunity;journal;10974180,10747610;13.277;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
20;23340;Chemical Reviews;journal;15206890,00092670;12.348;Q1;790;Chemistry (miscellaneous) (Q1)
21;19482;Econometrica;journal;129682,14680262;12.055;Q1;213;Economics and Econometrics (Q1)
22;12286;Surface Science Reports;journal;01675729,1879274X;11.852;Q1;126;Condensed Matter Physics (Q1),Electronic,Optical and Magnetic Materials (Q1),Materials Chemistry (Q1),Metals and Alloys (Q1),Surfaces and Interfaces (Q1),Surfaces,Coatings and Films (Q1)
23;29093;Cancer Cell;journal;15356108,18783690;11.785;Q1;378;Cancer Research (Q1),Cell Biology (Q1),Oncology (Q1)
24;21318;Nature Reviews Immunology;journal;14741741,14741730;11.713;Q1;444;Immunology (Q1),Medicine (miscellaneous) (Q1)
25;19434;MMWR Recommendations and Reports;journal;10575987,15458600;11.642;Q1;151;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
26;12000154482;Annual Review of Biophysics;journal;19361238,1936122X;11.575;Q1;169;Biochemistry (Q1),Bioengineering (Q1),Biophysics (Q1),Cell Biology (Q1),Structural Biology (Q1)
27;17978;Neuron;journal;10974199,08966270;11.365;Q1;511;Neuroscience (miscellaneous) (Q1)
28;24404;Journal of Political Economy;journal;00223808,1537534X;11.322;Q1;207;Economics and Econometrics (Q1)
29;24202;Review of Economic Studies;journal;00346527,1467937X;11.298;Q1;158;Economics and Econometrics (Q1)
30;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;11.191;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
31;20278;Microbiology and Molecular Biology Reviews;journal;10985557,10922170;11.113;Q1;267;Immunology and Microbiology (miscellaneous)  (Q1),Molecular Biology (Q1)
32;23571;Science;journal;10959203,00368080;11.090;Q1;1283;History and Philosophy of Science (Q1),Multidisciplinary (Q1)
33;21272;Journal of Experimental Medicine;journal;221007,15409538;11.025;Q1;478;Immunology (Q1),Immunology and Allergy (Q1),Medicine (miscellaneous) (Q1)
34;18525;Developmental Cell;journal;15345807,18781550;10.990;Q1;286;Developmental Biology (Q1)
35;26978;Advances in Physics;journal;14606976,00018730;10.949;Q1;121;Condensed Matter Physics (Q1)
36;19479;Annual Review of Pharmacology and Toxicology;journal;15454304,03621640;10.789;Q1;218;Pharmacology (Q1),Toxicology (Q1)
37;16721;Annual Review of Plant Biology;journal;15452123,15435010;10.370;Q1;286;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1),Plant Science (Q1)
38;21206;Nature;journal;14764687,00280840;10.333;Q1;1331;Multidisciplinary (Q1)
39;19066;Trends in Cell Biology;journal;9628924,18793088;10.316;Q1;255;Cell Biology (Q1)
40;26038;Endocrine Reviews;journal;19457189,0163769X;10.250;Q1;293;Endocrinology (Q1),Endocrinology,Diabetes and Metabolism (Q1)
41;71056;MMWR Surveillance Summaries;journal;15458636,15460740;10.221;Q1;114;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1)
42;15819;Nature Medicine;journal;1546170X,10788956;10.215;Q1;605;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
43;27165;Journal of Economic Literature;journal;220515;10.065;Q1;173;Economics and Econometrics (Q1)
44;17500;Journal of Finance;journal;221082,15406261;10.044;Q1;336;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
