Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
1;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;88.192;Q1;198;Hematology (Q1),Oncology (Q1)
2;19434;MMWR Recommendations and Reports;journal;10575987,15458600;41.022;Q1;151;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
3;21100812243;Nature Reviews Materials;journal;20588437;36.691;Q1;156;Biomaterials (Q1),Electronic,Optical and Magnetic Materials (Q1),Energy (miscellaneous) (Q1),Materials Chemistry (Q1),Surfaces,Coatings and Films (Q1)
4;29431;Quarterly Journal of Economics;journal;335533,15314650;36.220;Q1;292;Economics and Econometrics (Q1)
5;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;29.997;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
6;18991;Nature Reviews Genetics;journal;14710056,14710060;28.619;Q1;406;Genetics (Q1),Genetics (clinical) (Q1),Molecular Biology (Q1)
7;18434;Cell;journal;928674,10974172;24.698;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
8;29719;Reviews of Modern Physics;journal;346861,15390756;21.938;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
9;12464;Nature Reviews Cancer;journal;1474175X,14741768;21.287;Q1;484;Cancer Research (Q1),Oncology (Q1)
10;24404;Journal of Political Economy;journal;00223808,1537534X;21.239;Q1;207;Economics and Econometrics (Q1)
11;23340;Chemical Reviews;journal;15206890,00092670;20.847;Q1;790;Chemistry (miscellaneous) (Q1)
12;71056;MMWR Surveillance Summaries;journal;15458636,15460740;20.617;Q1;114;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1)
13;21318;Nature Reviews Immunology;journal;14741741,14741730;20.611;Q1;444;Immunology (Q1),Immunology and Allergy (Q1),Medicine (miscellaneous) (Q1)
14;21100778827;Nature Methods;journal;15487091,15487110;20.148;Q1;363;Biochemistry (Q1),Biotechnology (Q1),Cell Biology (Q1),Molecular Biology (Q1)
15;18990;Nature Genetics;journal;10614036,15461720;19.795;Q1;621;Genetics (Q1)
16;21100812579;Nature Energy;journal;20587546;19.635;Q1;196;Electronic,Optical and Magnetic Materials (Q1),Energy Engineering and Power Technology (Q1),Fuel Technology (Q1),Renewable Energy,Sustainability and the Environment (Q1)
17;15847;New England Journal of Medicine;journal;284793,15334406;18.291;Q1;1130;Medicine (miscellaneous) (Q1)
18;16801;Annual Review of Biochemistry;journal;15454509,00664150;17.387;Q1;316;Biochemistry (Q1)
19;17500;Journal of Finance;journal;221082,15406261;17.134;Q1;336;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
20;15819;Nature Medicine;journal;1546170X,10788956;15.812;Q1;605;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
21;12354;Lancet Oncology,The;journal;14702045,14745490;15.650;Q1;382;Oncology (Q1)
22;21100826569;Nature Reviews Chemistry;journal;23973358;15.610;Q1;90;Chemical Engineering (miscellaneous) (Q1),Chemistry (miscellaneous) (Q1)
23;5200152704;Nature Nanotechnology;journal;17483387,17483400;15.555;Q1;395;Atomic and Molecular Physics,and Optics (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Condensed Matter Physics (Q1),Electrical and Electronic Engineering (Q1),Materials Science (miscellaneous) (Q1),Nanoscience and Nanotechnology (Q1)
24;17854;Nature Materials;journal;14764660,14761120;14.862;Q1;533;Chemistry (miscellaneous) (Q1),Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
25;17437;Nature Reviews Neuroscience;journal;14710048,1471003X;14.780;Q1;455;Neuroscience (miscellaneous) (Q1)
26;19482;Econometrica;journal;129682,14680262;14.563;Q1;213;Economics and Econometrics (Q1)
27;16590;Lancet,The;journal;01406736,1474547X;14.554;Q1;855;Medicine (miscellaneous) (Q1)
28;23350;Chemical Society Reviews;journal;3060012,14604744;14.490;Q1;595;Chemistry (miscellaneous) (Q1)
29;26978;Advances in Physics;journal;14606976,00018730;14.432;Q1;121;Condensed Matter Physics (Q1)
30;24202;Review of Economic Studies;journal;00346527,1467937X;14.235;Q1;158;Economics and Econometrics (Q1)
31;21206;Nature;journal;14764687,00280840;14.047;Q1;1331;Multidisciplinary (Q1)
32;20651;Annual Review of Immunology;journal;15453278,07320580;13.842;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
33;20110;NBER Macroeconomics Annual;book series;15372642,08893370;13.793;Q1;68;Economics and Econometrics (Q1)
34;22697;American Economic Review;journal;28282;13.773;Q1;337;Economics and Econometrics (Q1)
35;17436;Nature Neuroscience;journal;10976256,15461730;13.723;Q1;460;Neuroscience (miscellaneous) (Q1)
36;5700165152;Nature Photonics;journal;17494885;13.614;Q1;362;Atomic and Molecular Physics,and Optics (Q1),Electronic,Optical and Magnetic Materials (Q1)
37;20313;Nature Reviews Microbiology;journal;17401534,17401530;13.160;Q1;349;Immunology and Microbiology (miscellaneous)  (Q1),Infectious Diseases (Q1),Microbiology (Q1)
38;23571;Science;journal;10959203,00368080;13.110;Q1;1283;History and Philosophy of Science (Q1),Multidisciplinary (Q1)
39;17500155114;Energy and Environmental Science;journal;17545692,17545710;13.024;Q1;408;Environmental Chemistry (Q1),Nuclear Energy and Engineering (Q1),Pollution (Q1),Renewable Energy,Sustainability and the Environment (Q1)
40;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;12.954;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
41;16161;Review of Financial Studies;journal;14657368,08939450;12.837;Q1;218;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
42;19900191906;Academy of Management Annals;journal;19416520,19416070;12.595;Q1;95;Business and International Management (Q1),Organizational Behavior and Human Resource Management (Q1)
43;16115;Nature Biotechnology;journal;15461696,10870160;12.565;Q1;491;Applied Microbiology and Biotechnology (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Biotechnology (Q1),Molecular Medicine (Q1)
44;21100780831;Nature Reviews Disease Primers;journal;2056676X;12.268;Q1;155;Medicine (miscellaneous) (Q1)
45;24379;Journal of Financial Economics;journal;0304405X;11.999;Q1;289;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1),Strategy and Management (Q1)
46;20798;Immunity;journal;10974180,10747610;11.977;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
47;29093;Cancer Cell;journal;15356108,18783690;11.909;Q1;378;Cancer Research (Q1),Cell Biology (Q1),Oncology (Q1)
48;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;11.782;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
49;20246;Journal of Labor Economics;journal;0734306X,15375307;11.572;Q1;123;Economics and Econometrics (Q1),Industrial Relations (Q1)
50;16036;Administrative Science Quarterly;journal;18392,19303815;11.493;Q1;201;Arts and Humanities (miscellaneous) (Q1),Public Administration (Q1),Sociology and Political Science (Q1)
51;16860;Lancet Neurology,The;journal;14744465,14744420;11.258;Q1;336;Neurology (clinical) (Q1)
52;20191;Academy of Management Journal;journal;14273;11.190;Q1;358;Business and International Management (Q1),Business,Management and Accounting (miscellaneous) (Q1),Management of Technology and Innovation (Q1),Strategy and Management (Q1)
53;21100862548;Nature Catalysis;journal;25201158;11.104;Q1;110;Biochemistry (Q1),Bioengineering (Q1),Catalysis (Q1),Process Chemistry and Technology (Q1)
54;18606;Molecular Cell;journal;10974164,10972770;11.075;Q1;429;Cell Biology (Q1),Molecular Biology (Q1)
55;16721;Annual Review of Plant Biology;journal;15452123,15435010;10.836;Q1;286;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1),Plant Science (Q1)
56;146172;Cell Metabolism;journal;15504131;10.810;Q1;318;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1)
57;28677;Living Reviews in Relativity;journal;14338351,23673610;10.803;Q1;92;Physics and Astronomy (miscellaneous) (Q1)
58;19900191767;American Economic Journal: Applied Economics;journal;19457790,19457780;10.788;Q1;100;Economics,Econometrics and Finance (miscellaneous) (Q1)
59;19881;Advanced Materials;journal;9359648,15214095;10.571;Q1;605;Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1),Nanoscience and Nanotechnology (Q1)
60;120008;Annual Review of Physiology;journal;664278,15451585;10.545;Q1;228;Physiology (Q1)
61;14181;Annual Review of Neuroscience;journal;0147006X,15454126;10.311;Q1;256;Neuroscience (miscellaneous) (Q1)
62;12010;Annual Review of Psychology;journal;664308,15452085;10.232;Q1;266;Psychology (miscellaneous) (Q1)
63;24004;Physiological Reviews;journal;15221210,00319330;10.153;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
64;29949;Journal of Clinical Oncology;journal;15277755,0732183X;10.054;Q1;600;Cancer Research (Q1),Medicine (miscellaneous) (Q1),Oncology (Q1)
