Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
1;29719;Reviews of Modern Physics;journal;346861,15390756;45.218;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
2;20651;Annual Review of Immunology;journal;15453278,07320580;40.310;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
3;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;31.065;Q1;198;Hematology (Q1),Oncology (Q1)
4;16801;Annual Review of Biochemistry;journal;15454509,00664150;30.916;Q1;316;Biochemistry (Q1)
5;26978;Advances in Physics;journal;14606976,00018730;30.717;Q1;121;Condensed Matter Physics (Q1)
6;18434;Cell;journal;928674,10974172;25.740;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
7;18990;Nature Genetics;journal;10614036,15461720;25.298;Q1;621;Genetics (Q1)
8;14181;Annual Review of Neuroscience;journal;0147006X,15454126;22.001;Q1;256;Neuroscience (miscellaneous) (Q1)
9;21706;Annual Review of Genetics;journal;15452948,00664200;21.502;Q1;195;Genetics (Q1)
10;29431;Quarterly Journal of Economics;journal;335533,15314650;21.197;Q1;292;Economics and Econometrics (Q1)
11;21100326898;Acta Crystallographica Section A: Foundations and Advances;journal;20532733;19.764;Q1;88;Biochemistry (Q1),Condensed Matter Physics (Q1),Inorganic Chemistry (Q1),Materials Science (miscellaneous) (Q1),Physical and Theoretical Chemistry (Q1),Structural Biology (Q1)
12;23340;Chemical Reviews;journal;15206890,00092670;19.537;Q1;790;Chemistry (miscellaneous) (Q1)
13;16721;Annual Review of Plant Biology;journal;15452123,15435010;18.547;Q1;286;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1),Plant Science (Q1)
14;21315;Nature Immunology;journal;15292908,15292920;18.437;Q1;424;Immunology (Q1)
15;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;18.262;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
16;24004;Physiological Reviews;journal;15221210,00319330;17.880;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
17;17854;Nature Materials;journal;14764660,14761120;17.790;Q1;533;Chemistry (miscellaneous) (Q1),Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
